City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,Riyadh,24.69,46.72,73.4,25,0,12.75,SA,2020-04-27 02:59:40
222,Chiplun,17.53,73.52,85.1,58,1,2.39,IN,2020-04-27 02:59:54
223,Lebu,-37.62,-73.65,56.23,91,91,13.76,CL,2020-04-27 02:59:54
224,Mehamn,71.04,27.85,28.96,96,100,19.51,NO,2020-04-27 02:59:55
225,Ancud,-41.87,-73.82,57.99,87,92,12.75,CL,2020-04-27 02:58:16
226,Tecoanapa,16.52,-98.75,78.12,72,11,3.02,MX,2020-04-27 02:59:55
227,Acapulco,16.86,-99.89,78.8,74,20,5.82,MX,2020-04-27 02:57:31
228,San Rafael,-34.62,-68.33,57.92,69,49,2.35,AR,2020-04-27 02:59:55
229,Tual,-5.67,132.75,84.61,75,49,15.9,ID,2020-04-27 02:59:56
230,Antonina,-25.43,-48.71,73.99,100,20,6.93,BR,2020-04-27 02:59:55
231,Yerofey Pavlovich,53.97,121.97,51.04,33,100,13.35,RU,2020-04-27 02:59:56
232,Mancio Lima,-7.61,-72.9,71.87,89,100,0.63,BR,2020-04-27 02:59:56
233,Lichuan,30.3,108.85,69.15,31,2,4.41,CN,2020-04-27 02:59:57
234,Igrim,63.19,64.42,35.13,95,100,3.69,RU,2020-04-27 02:59:57
235,Novochernorechenskiy,56.27,91.08,57.09,35,53,3.06,RU,2020-04-27 02:59:57
236,Lasa,46.62,10.7,48.0,87,75,9.17,IT,2020-04-27 02:59:57
237,Chara,56.91,118.26,44.49,41,0,2.77,RU,2020-04-27 02:59:58
238,Ferrandina,40.5,16.45,59.0,93,75,5.82,IT,2020-04-27 02:59:58
239,Bayir,37.27,28.22,46.4,93,79,4.7,TR,2020-04-27 02:59:58
240,Bengkulu,-3.8,102.27,81.72,78,100,8.57,ID,2020-04-27 02:59:33
241,Pitimbu,-7.47,-34.81,77.0,100,20,4.7,BR,2020-04-27 02:59:59
242,Hariana,31.64,75.84,73.85,61,87,5.73,IN,2020-04-27 02:59:59
243,Ust-Shonosha,61.15,41.34,29.48,96,77,2.42,RU,2020-04-27 02:59:59
244,Kavieng,-2.57,150.8,83.84,76,21,10.33,PG,2020-04-27 03:00:00
245,Zhigansk,66.77,123.37,29.73,94,97,12.64,RU,2020-04-27 03:00:00
246,Beloha,-25.17,45.05,62.56,75,36,10.71,MG,2020-04-27 03:00:00
247,West Bay,19.37,-81.42,82.0,87,52,6.11,KY,2020-04-27 03:00:00
248,Saint George,37.1,-113.58,82.4,18,1,5.82,US,2020-04-27 02:56:38
249,Ust-Ishim,57.69,71.17,53.53,47,67,8.63,RU,2020-04-27 03:00:01
250,Palkonda,18.6,83.75,84.56,68,29,5.55,IN,2020-04-27 03:00:01
251,Luderitz,-26.65,15.16,62.6,82,36,12.75,NA,2020-04-27 03:00:02
252,Harper,4.38,-7.72,78.06,89,100,9.64,LR,2020-04-27 03:00:02
253,San Luis,-33.3,-66.34,62.55,66,93,4.09,AR,2020-04-27 03:00:03
254,Meulaboh,4.14,96.13,83.37,73,93,1.41,ID,2020-04-27 03:00:03
255,Mahanje,-9.93,35.33,62.19,70,53,0.58,TZ,2020-04-27 03:00:03
256,Los Llanos De Aridane,28.66,-17.92,64.4,68,0,5.82,ES,2020-04-27 03:00:04
257,Taoudenni,22.68,-3.98,79.45,16,0,9.84,ML,2020-04-27 03:00:05
258,Rio Gallegos,-51.62,-69.22,32.0,65,0,3.36,AR,2020-04-27 03:00:05
259,Zhezkazgan,47.8,67.71,53.6,87,90,6.71,KZ,2020-04-27 03:00:06
260,Samarai,-10.62,150.67,83.05,80,89,7.87,PG,2020-04-27 03:00:07
261,Iquique,-20.22,-70.14,64.4,72,26,9.17,CL,2020-04-27 03:00:08
262,Talakan,50.32,130.37,53.53,36,83,5.86,RU,2020-04-27 03:00:08
263,Kitchener,43.43,-80.51,43.0,75,90,9.17,CA,2020-04-27 03:00:08
